Row Index,Title,Artist,Album,Source Context,Duration,Date,Popularity,Favorited,Has Lyrics,Artist Link,Album Link,Cover URL
60,Move Your Body,Marshall Jefferson,Move Your Body,House Afternoon,03:16,27/07/2022,By popularity: 6 / 10,true,true,https://www.deezer.com/en/artist/411542,https://www.deezer.com/en/album/114141302,https://cdn-images.dzcdn.net/images/cover/302040e3d77672a72eea848dcfa4fe93/40x40-000000-80-0-0.jpg
61,VICE,Gregson,VICE,House Afternoon,04:49,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/378396,https://www.deezer.com/en/album/267360252,https://cdn-images.dzcdn.net/images/cover/4adf3282de2a5883229a63b1ed6e8986/40x40-000000-80-0-0.jpg
62,I Feel for You (Mercer Remix),Bob Sinclar,I Feel for You (Mercer Remix),House Afternoon,03:08,27/07/2022,By popularity: 3 / 10,false,true,https://www.deezer.com/en/artist/157,https://www.deezer.com/en/album/551930782,https://cdn-images.dzcdn.net/images/cover/433d239ff0c50e34ddc6031df2a8bf90/40x40-000000-80-0-0.jpg
63,Boogie Wonderland,Mr. Belt & Wezol,Boogie Wonderland,House Afternoon,02:48,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/5843414,https://www.deezer.com/en/album/56613952,https://cdn-images.dzcdn.net/images/cover/7defa8e00fc1c58c695268741c4e315b/40x40-000000-80-0-0.jpg
64,Thru Your Mind,Bassboy,Thru Your Mind,House Afternoon,04:41,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/380389,https://www.deezer.com/en/album/174338512,https://cdn-images.dzcdn.net/images/cover/bad7069f44a2466984006be464497c0d/40x40-000000-80-0-0.jpg
65,Los Choukarios,Bellecour,Los Choukarios,House Afternoon,03:17,27/07/2022,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/10938506,https://www.deezer.com/en/album/389138257,https://cdn-images.dzcdn.net/images/cover/9488b89f43c2d0e2fca39299e88b0f6c/40x40-000000-80-0-0.jpg
66,Funky Vodka,TJR,Funky Vodka,House Afternoon,06:02,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/869216,https://www.deezer.com/en/album/14109378,https://cdn-images.dzcdn.net/images/cover/93e3bad20ddeaf171795ff0c3a8c5f05/40x40-000000-80-0-0.jpg
67,Summer 91,Noizu,Summer 91,House Afternoon,02:29,27/07/2022,By popularity: 5 / 10,false,true,https://www.deezer.com/en/artist/11651043,https://www.deezer.com/en/album/176185202,https://cdn-images.dzcdn.net/images/cover/bb6213e1992306880bc88e8f0af19269/40x40-000000-80-0-0.jpg
68,Poison,Klaus Veen,Lekker Setje Beats,House Afternoon,03:11,27/07/2022,By popularity: 5 / 10,false,false,https://www.deezer.com/en/artist/13780213,https://www.deezer.com/en/album/579052101,https://cdn-images.dzcdn.net/images/cover/3d7b074a60f74d1b2327445616613047/40x40-000000-80-0-0.jpg
69,Oye Como Va,Faul & Wad Ad,Oye Como Va,House Afternoon,03:05,27/07/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/5330515,https://www.deezer.com/en/album/499554341,https://cdn-images.dzcdn.net/images/cover/5a72b38ab7074fc9889a1af6d2725c15/40x40-000000-80-0-0.jpg
70,Time for You & Me,Mangabey,Time For You & Me,House Afternoon,03:44,12/08/2022,By popularity: 4 / 10,true,false,https://www.deezer.com/en/artist/5482010,https://www.deezer.com/en/album/235251102,https://cdn-images.dzcdn.net/images/cover/481645213c17744bc526372b6262a3cd/40x40-000000-80-0-0.jpg
71,Streets (Disclosure Remix),Doja Cat,Streets (Disclosure Remix),House Afternoon,04:14,12/08/2022,By popularity: 4 / 10,false,false,https://www.deezer.com/en/artist/5578942,https://www.deezer.com/en/album/213537972,https://cdn-images.dzcdn.net/images/cover/3b679184d97109f079c5f7fc1e243fe7/40x40-000000-80-0-0.jpg
72,Brother Louie,VIZE,Brother Louie,House Afternoon,02:52,13/08/2022,By popularity: 4 / 10,false,true,https://www.deezer.com/en/artist/534771,https://www.deezer.com/en/album/156660422,https://cdn-images.dzcdn.net/images/cover/70b163ef342ab26feef6f1bfaf8640fa/40x40-000000-80-0-0.jpg
73,Stay Mine,Timmy Trumpet,Stay Mine,House Afternoon,02:58,14/08/2022,By popularity: 4 / 10,true,false,https://www.deezer.com/en/artist/661247,https://www.deezer.com/en/album/213734852,https://cdn-images.dzcdn.net/images/cover/e512579966cd23a405998583c112b814/40x40-000000-80-0-0.jpg
74,Baby,Aitch,Baby,House Afternoon,02:58,15/08/2022,By popularity: 5 / 10,true,false,https://www.deezer.com/en/artist/507896,https://www.deezer.com/en/album/300230367,https://cdn-images.dzcdn.net/images/cover/9fd2d000405510cc30cba8ba4682dc7d/40x40-000000-80-0-0.jpg
75,Jama Ko (Masalo Blueprint Version),Bassekou Kouyate,Jama Ko,House Afternoon,08:10,16/08/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/398173,https://www.deezer.com/en/album/59251052,https://cdn-images.dzcdn.net/images/cover/b1850b63885bcf273f3311ad0aec6a7d/40x40-000000-80-0-0.jpg
76,Savane Colour,Tomasz Wakulewski,Savane Colour EP,House Afternoon,04:41,16/08/2022,By popularity: 1 / 10,false,false,https://www.deezer.com/en/artist/1880771,https://www.deezer.com/en/album/152147952,https://cdn-images.dzcdn.net/images/cover/4b94f7b1915b69e3122550696fdaeaa4/40x40-000000-80-0-0.jpg
77,Matinee (Original Mix),Snacks,Burnin',House Afternoon,06:28,16/08/2022,By popularity: 2 / 10,false,false,https://www.deezer.com/en/artist/281105,https://www.deezer.com/en/album/14058656,https://cdn-images.dzcdn.net/images/cover/fd3e49ea62161cddd327786777d39de3/40x40-000000-80-0-0.jpg
